
 num     #instances         #bytes  class name
 259:           229          12824  org.hibernate.validator.internal.metadata.aggregated.PropertyMetaData
 260:           534          12816  sun.reflect.generics.parser.SignatureParser
 261:           228          12768  java.lang.invoke.MemberName
 262:           227          12712  java.util.ResourceBundle$CacheKey
 263:           525          12600  com.fasterxml.classmate.members.RawMethod
 264:           522          12528  java.util.concurrent.locks.ReentrantReadWriteLock
 265:           520          12480  org.springframework.beans.TypeConverterDelegate
 266:           130          12480  org.springframework.boot.loader.jar.JarFile
 267:           111          12432  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 268:           515          12360  org.springframework.util.MimeType
 269:           772          12352  org.springframework.util.LinkedMultiValueMap
 270:           513          12312  java.util.concurrent.atomic.AtomicLong
 271:           211          12216  [Lfreemarker.core.TemplateElement;
 272:           508          12192  java.util.Date
 273:           507          12168  sun.reflect.NativeMethodAccessorImpl
 274:           303          12120  org.springframework.util.ConcurrentReferenceHashMap$Segment$1
 275:           299          11856  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 276:           360          11520  org.springframework.util.ConcurrentReferenceHashMap$1
 277:           471          11304  java.net.URLClassLoader$2
 278:           280          11200  javax.management.MBeanOperationInfo
 279:           460          11040  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 280:           460          11040  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 281:           341          10912  sun.misc.FDBigInteger
 282:           227          10896  org.apache.tomcat.util.buf.ByteChunk
 283:           227          10896  sun.security.x509.X500Name
 284:           334          10688  com.netflix.servo.monitor.MonitorConfig
 285:           445          10680  sun.reflect.generics.tree.Wildcard
 286:           666          10656  java.lang.Short
 287:           147          10584  sun.reflect.DelegatingClassLoader
 288:           329          10528  org.springframework.cglib.proxy.MethodProxy
 289:           262          10480  freemarker.core.Identifier
 290:           654          10464  com.sun.jersey.core.reflection.MethodList
 291:           326          10432  java.lang.reflect.Proxy$Key1
 292:           216          10368  org.apache.tomcat.util.buf.CharChunk
 293:           212          10176  org.apache.tomcat.util.buf.MessageBytes
 294:           136           9792  java.util.logging.Logger
 295:           403           9672  com.netflix.servo.tag.BasicTag
 296:           297           9504  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 297:           237           9480  java.io.BufferedInputStream
 298:           296           9472  sun.reflect.generics.repository.ClassRepository
 299:           197           9456  java.util.WeakHashMap
 300:           194           9312  org.hibernate.validator.internal.metadata.raw.ConstrainedField
 301:           290           9280  org.apache.tomcat.util.modeler.ParameterInfo
 302:           231           9240  java.security.ProtectionDomain
 303:           115           9200  org.springframework.boot.bind.RelaxedDataBinder
 304:           115           9200  org.springframework.boot.bind.RelaxedDataBinder$RelaxedBeanWrapper
 305:           317           9000  [Lcom.netflix.servo.tag.Tag;
 306:           139           8896  sun.security.provider.SHA2$SHA256
 307:           553           8848  sun.reflect.DelegatingMethodAccessorImpl
 308:           274           8768  sun.misc.FloatingDecimal$ASCIIToBinaryBuffer
 309:           363           8712  org.springframework.context.event.GenericApplicationListenerAdapter
 310:           362           8704  [Lorg.springframework.util.ConcurrentReferenceHashMap$TaskOption;
 311:           271           8672  java.util.Collections$SynchronizedMap
 312:           542           8672  java.util.TreeMap$EntrySet
 313:            84           8632  [Lorg.springframework.asm.Label;
 314:           179           8592  java.util.ResourceBundle$BundleReference
 315:           415           8584  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 316:           536           8576  javax.management.modelmbean.DescriptorSupport
 317:           268           8576  org.apache.tomcat.util.http.ValuesEnumerator
 318:           262           8384  java.lang.ThreadLocal$ThreadLocalMap$Entry
 319:           522           8352  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 320:           522           8352  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 321:           522           8352  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 322:           130           8320  org.springframework.boot.loader.jar.JarFileEntries$1
 323:           104           8320  sun.security.x509.X509CertImpl
 324:           341           8184  sun.security.x509.Extension
 325:           253           8096  java.util.logging.LogManager$LogNode
 326:           202           8080  org.springframework.core.SerializableTypeWrapper$MethodInvokeTypeProvider
 327:           332           7968  com.netflix.servo.tag.SmallTagMap$Builder
 328:           248           7936  javax.management.MBeanParameterInfo
 329:           330           7920  org.springframework.core.io.ClassPathResource
 330:           328           7872  freemarker.ext.beans.ClassIntrospector$MethodSignature
 331:           328           7872  org.springframework.beans.CachedIntrospectionResults
 332:           327           7848  com.netflix.servo.monitor.MonitorConfig$Builder
 333:           325           7800  sun.security.util.Cache$EqualByteArray
 334:           227           7776  [Lsun.security.x509.RDN;
 335:           241           7712  java.lang.invoke.LambdaForm$Name
 336:            95           7600  org.hibernate.validator.internal.metadata.aggregated.ExecutableMetaData$Builder
 337:           473           7568  org.springframework.boot.autoconfigure.condition.ConditionMessage
 338:           472           7552  org.springframework.core.convert.support.CollectionToArrayConverter
 339:           472           7552  org.springframework.core.convert.support.CollectionToStringConverter
 340:           314           7536  java.util.Collections$SingletonList
 341:           313           7512  com.netflix.servo.tag.BasicTagList
 342:           313           7512  com.netflix.servo.tag.SmallTagMap
 343:           115           7360  org.springframework.boot.bind.RelaxedDataBinder$RelaxedBeanPropertyBindingResult
 344:           227           7264  java.util.ResourceBundle$LoaderReference
 345:           296           7104  sun.reflect.generics.tree.ClassSignature
 346:           295           7080  java.util.regex.Pattern$GroupHead
 347:           295           7080  java.util.regex.Pattern$GroupTail
 348:           328           7064  [Ljavax.management.MBeanParameterInfo;
 349:            65           7056  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 350:           219           7008  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 351:           285           6840  org.springframework.core.type.classreading.SimpleMetadataReader
 352:           212           6784  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 353:           212           6784  java.util.regex.Pattern$Curly
 354:           211           6752  java.io.File
 355:           281           6744  java.lang.Long
 356:           418           6688  java.util.concurrent.atomic.AtomicInteger
 357:           119           6664  org.springframework.core.env.PropertySourcesPropertyResolver
 358:           275           6600  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1
 359:           206           6592  org.springframework.jmx.export.metadata.ManagedAttribute
 360:           136           6528  sun.security.jca.ProviderList$ServiceList
 361:           161           6440  java.lang.invoke.MethodType
 362:           160           6400  java.security.AccessControlContext
 363:            88           6336  freemarker.core.DollarVariable
 364:           296           6328  [Lsun.reflect.generics.tree.ClassTypeSignature;
 365:            98           6272  java.beans.Introspector
 366:           130           6240  org.springframework.boot.loader.jar.JarFileEntries
 367:           260           6240  org.springframework.core.convert.support.GenericConversionService$ConverterFactoryAdapter
 368:           194           6208  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 369:           250           6000  sun.security.util.DisabledAlgorithmConstraints$DisabledConstraint
 370:           199           5992  [Ljavax.management.ObjectName$Property;
 371:           372           5952  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 372:           247           5936  [Ljava.security.cert.X509Certificate;
 373:           184           5888  org.springframework.core.annotation.AnnotationUtils$AnnotationCollector
 374:           368           5888  sun.reflect.generics.tree.TypeVariableSignature
 375:            98           5880  [Ljava.lang.ref.SoftReference;
 376:           182           5824  java.lang.reflect.WeakCache$CacheKey
 377:           182           5824  org.springframework.web.servlet.mvc.condition.ProducesRequestCondition$ProduceMediaTypeExpression
 378:           104           5824  sun.security.util.MemoryCache$SoftCacheEntry
 379:           104           5824  sun.security.x509.X509CertInfo
 380:           351           5808  [Lorg.springframework.beans.PropertyValue;
 381:            40           5760  sun.reflect.MethodAccessorGenerator
 382:           236           5664  org.springframework.core.convert.support.ArrayToArrayConverter
 383:           236           5664  org.springframework.core.convert.support.GenericConversionService$Converters
 384:           233           5592  org.apache.commons.logging.impl.SLF4JLocationAwareLog
 385:           174           5568  org.springframework.cglib.proxy.MethodProxy$FastClassInfo
 386:           115           5520  org.springframework.boot.bind.PropertiesConfigurationFactory
 387:           230           5520  org.springframework.boot.bind.RelaxedConversionService
 388:           230           5520  org.springframework.core.convert.support.GenericConversionService
 389:           342           5472  java.util.HashMap$Values
 390:            76           5472  javax.management.modelmbean.ModelMBeanInfoSupport
 391:           134           5360  org.springframework.web.context.request.ServletWebRequest
 392:           163           5216  sun.reflect.UnsafeObjectFieldAccessorImpl
 393:           325           5200  org.springframework.context.event.EventListenerMethodProcessor$1
 394:           214           5136  sun.security.jca.GetInstance$Instance
 395:           212           5088  java.lang.Double
 396:           318           5088  org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler
